embedding model,Infection Precision,Infection Recall,Infection F1-score,PPI Precision,PPI Recall,PPI F1-score,accuracy,weighted precision,weighted f1-score,ROC macro,ROC weighted
GF,0.792,0.56,0.64,0.854,0.802,0.826,0.885,0.864,0.872,0.913,0.934
Deepwalk,0.808,0.6,0.667,0.876,0.834,0.854,0.895,0.871,0.88,0.906,0.93
LINE,0.729,0.493,0.567,0.773,0.705,0.736,0.774,0.76,0.765,0.884,0.891
Node2vec,0.822,0.457,0.547,0.892,0.698,0.781,0.894,0.853,0.868,0.807,0.845
SDNE,0.714,0.713,0.703,0.782,0.751,0.765,0.823,0.811,0.815,0.937,0.947
CrossNELP,0.911,0.747,0.808,0.926,0.896,0.91,0.949,0.948,0.944,0.994,0.993
,,,,,,,,,,,
Improvements compared with CrossNELP,,,,,,,,,,,
embedding model,,,,,,,,,,,
GF,0.13062569,0.25033467,0.20792079,0.07775378,0.10491071,0.09230769,0.06743941,0.08860759,0.07627119,0.08148893,0.05941591
Deepwalk,0.11306257,0.19678715,0.17450495,0.05399568,0.06919643,0.06153846,0.056902,0.08122363,0.06779661,0.08853119,0.06344411
LINE,0.19978046,0.34002677,0.29826733,0.16522678,0.21316964,0.19120879,0.18440464,0.19831224,0.18961864,0.11066398,0.10271903
Node2vec,0.09769484,0.38821954,0.3230198,0.03671706,0.22098214,0.14175824,0.05795574,0.10021097,0.08050847,0.18812877,0.1490433
SDNE,0.21624588,0.04551539,0.1299505,0.15550756,0.16183036,0.15934066,0.13277134,0.14451477,0.13665254,0.05734406,0.04632427
,,,,,,,,,,,
Second-best,0.09769484,0.04551539,0.1299505,0.03671706,0.06919643,0.06153846,0.056902,0.08122363,0.06779661,0.05734406,0.04632427
