embedding model,infection precision,infection recall,infection f1-score,PPI precision,PPI recall,PPI f1-score,accuracy,weighted precision,weighted recall,weighted f1-score,ROC macro,ROC weighted,,,infection precision,infection recall,infection f1-score,PPI precision,PPI recall,PPI f1-score,accuracy,weighted precision,weighted recall,weighted f1-score,ROC macro,ROC weighted
LINE,0.909090909,1,0.952380952,0.802816901,0.619565217,0.699386503,0.770596591,0.752812796,0.770596591,0.757726669,0.889396585,0.888937676,,infection f1-score t-test,0.000124253,7.97548E-06,1.55219E-06,1.17051E-18,4.14502E-20,1.60311E-24,1.1295E-47,5.93688E-48,1.1295E-47,8.08097E-52,1.18939E-30,4.14948E-33
LINE,0.625,0.5,0.555555556,0.793103448,0.75,0.770949721,0.759943182,0.737562882,0.759943182,0.746719413,0.883474995,0.883268996,,alpha,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
LINE,0.857142857,0.6,0.705882353,0.70212766,0.717391304,0.709677419,0.78125,0.763241898,0.78125,0.770950864,0.885629335,0.895187001,,reject Null?,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
LINE,0.25,0.2,0.222222222,0.823529412,0.760869565,0.790960452,0.764204545,0.752620394,0.764204545,0.757497172,0.882916581,0.895608846,,,,,,,,,,,,,,
LINE,0.75,0.6,0.666666667,0.85,0.739130435,0.790697674,0.765625,0.75583437,0.765625,0.759055383,0.903237209,0.898699421,,,,,,,,,,,,,,
LINE,0,0,0,0.708333333,0.554347826,0.62195122,0.764204545,0.748104265,0.764204545,0.754883062,0.85522643,0.870958244,,,,,,,,,,,,,,
LINE,0.875,0.7,0.777777778,0.714285714,0.760869565,0.736842105,0.796164773,0.787049656,0.796164773,0.790867494,0.912713373,0.917070381,,,,,,,,,,,,,,
LINE,1,0.1,0.181818182,0.8,0.695652174,0.744186047,0.777698864,0.76698543,0.777698864,0.768292109,0.874886658,0.889615595,,,,,,,,,,,,,,
LINE,0.666666667,0.6,0.631578947,0.811764706,0.75,0.779661017,0.775568182,0.757954743,0.775568182,0.765549217,0.893213224,0.897143326,,,,,,,,,,,,,,
LINE,0.4,0.2,0.266666667,0.858974359,0.72826087,0.788235294,0.791903409,0.777865474,0.791903409,0.783142667,0.876903217,0.897117505,,,,,,,,,,,,,,
LINE,0.833333333,0.5,0.625,0.741176471,0.684782609,0.711864407,0.776988636,0.766314876,0.776988636,0.76973406,0.889863021,0.896046565,,,,,,,,,,,,,,
LINE,0.777777778,0.7,0.736842105,0.813333333,0.663043478,0.730538922,0.774857955,0.757310597,0.774857955,0.763888026,0.878793572,0.887236392,,,,,,,,,,,,,,
LINE,0.857142857,0.6,0.705882353,0.723684211,0.597826087,0.654761905,0.748579545,0.731027962,0.748579545,0.738516727,0.878200957,0.876865086,,,,,,,,,,,,,,
LINE,0.642857143,0.9,0.75,0.711111111,0.695652174,0.703296703,0.761363636,0.751620275,0.761363636,0.755627335,0.913376806,0.90055496,,,,,,,,,,,,,,
LINE,0.833333333,0.5,0.625,0.814814815,0.717391304,0.76300578,0.757102273,0.747031605,0.757102273,0.749976132,0.880386703,0.886022409,,,,,,,,,,,,,,
LINE,0.777777778,0.7,0.736842105,0.736263736,0.72826087,0.732240437,0.7734375,0.760585442,0.7734375,0.765520439,0.895453804,0.896663447,,,,,,,,,,,,,,
LINE,0.8,0.4,0.533333333,0.739583333,0.77173913,0.755319149,0.779829545,0.770450883,0.779829545,0.773744347,0.879377423,0.89075799,,,,,,,,,,,,,,
LINE,0.666666667,0.4,0.5,0.724489796,0.77173913,0.747368421,0.774147727,0.759963117,0.774147727,0.765754348,0.890177637,0.899984637,,,,,,,,,,,,,,
LINE,0.8,0.4,0.533333333,0.831168831,0.695652174,0.75739645,0.770596591,0.754999098,0.770596591,0.760573517,0.874209999,0.887662949,,,,,,,,,,,,,,
LINE,0.857142857,0.6,0.705882353,0.708333333,0.739130435,0.723404255,0.772017045,0.757197479,0.772017045,0.763422046,0.889417336,0.896138388,,,,,,,,,,,,,,
LINE,1,0.6,0.75,0.729411765,0.673913043,0.700564972,0.761363636,0.748293361,0.761363636,0.753050618,0.883792721,0.886668723,,,,,,,,,,,,,,
LINE,0.833333333,0.5,0.625,0.761904762,0.695652174,0.727272727,0.768465909,0.7528634,0.768465909,0.758815306,0.86566646,0.871464584,,,,,,,,,,,,,,
LINE,0.625,0.5,0.555555556,0.85,0.739130435,0.790697674,0.793323864,0.777115333,0.793323864,0.782837054,0.891433604,0.900016895,,,,,,,,,,,,,,
LINE,0.333333333,0.1,0.153846154,0.797752809,0.77173913,0.784530387,0.786931818,0.767957859,0.786931818,0.774690367,0.871561864,0.890639755,,,,,,,,,,,,,,
LINE,0.6,0.6,0.6,0.860759494,0.739130435,0.795321637,0.796875,0.780226549,0.796875,0.786870495,0.887428861,0.896130756,,,,,,,,,,,,,,
LINE,0.888888889,0.8,0.842105263,0.735632184,0.695652174,0.715083799,0.772727273,0.760798261,0.772727273,0.765764823,0.888081018,0.886591199,,,,,,,,,,,,,,
LINE,0.8,0.4,0.533333333,0.792207792,0.663043478,0.721893491,0.764204545,0.74791451,0.764204545,0.754168633,0.878980407,0.880130296,,,,,,,,,,,,,,
LINE,1,0.4,0.571428571,0.720930233,0.673913043,0.696629213,0.779119318,0.770533321,0.779119318,0.773057462,0.895660533,0.895842524,,,,,,,,,,,,,,
LINE,1,0.4,0.571428571,0.753246753,0.630434783,0.686390533,0.772727273,0.759056745,0.772727273,0.763008641,0.872384128,0.879555192,,,,,,,,,,,,,,
LINE,0.6,0.3,0.4,0.790697674,0.739130435,0.764044944,0.778409091,0.769584982,0.778409091,0.773194594,0.868492176,0.876984371,,,,,,,,,,,,,,
Node2vec,1,1,1,0.920634921,0.630434783,0.748387097,0.895596591,0.852876222,0.895596591,0.870110549,0.810556901,0.849063122,,infection f1-score t-test,0.004495858,1.39848E-06,3.27721E-07,2.27403E-06,2.01996E-17,1.81926E-17,2.17555E-40,2.98718E-45,2.17555E-40,1.36641E-43,7.13711E-42,5.4155E-38
