Embedding Model,Infection Precision,Infection Recall,Infection F1-score,PPI Precision,PPI Recall,PPI F1-score,Accuracy,Weighted Precision,Weighted Recall,Weighted F1-score,AUC macro,AUC weighted
IMSP,1,1,1,0.851485149,0.895833333,0.873096447,0.978070175,0.978511979,0.978070175,0.978234204,0.997897848,0.997375502
IMSP,0.777777778,0.7,0.736842105,0.868686869,0.895833333,0.882051282,0.966165414,0.965974414,0.966165414,0.965833778,0.996172466,0.994966688
IMSP,0.785714286,0.916666667,0.846153846,0.877358491,0.989361702,0.93,0.969924812,0.970845487,0.969924812,0.970078371,0.996577979,0.995392206
IMSP,1,1,1,0.837209302,0.75,0.791208791,0.968045113,0.967461575,0.968045113,0.967368035,0.997513477,0.996585145
IMSP,1,0.7,0.823529412,0.84,0.875,0.857142857,0.971105528,0.97149102,0.971105528,0.971085378,0.995963272,0.995436328
IMSP,0.909090909,1,0.952380952,0.821782178,0.864583333,0.842639594,0.968045113,0.969084241,0.968045113,0.968385363,0.997603234,0.996687128
IMSP,0.818181818,0.9,0.857142857,0.814814815,0.6875,0.745762712,0.952380952,0.95170777,0.952380952,0.950716463,0.995802128,0.994509799
IMSP,0.833333333,0.833333333,0.833333333,0.805309735,0.968085106,0.879227053,0.959273183,0.960444791,0.959273183,0.958820655,0.995651234,0.994075895
IMSP,0.846153846,0.916666667,0.88,0.844660194,0.90625,0.874371859,0.973057644,0.974096499,0.973057644,0.973372952,0.997708354,0.997008048
IMSP,1,0.9,0.947368421,0.811881188,0.854166667,0.83248731,0.957914573,0.957903777,0.957914573,0.957656745,0.992029874,0.992272749
IMSP,0.769230769,1,0.869565217,0.855555556,0.802083333,0.827956989,0.964285714,0.964178118,0.964285714,0.96397185,0.997416864,0.996410724
IMSP,0.818181818,0.9,0.857142857,0.936842105,0.927083333,0.931937173,0.980576441,0.980580275,0.980576441,0.980555712,0.998901125,0.99850213
IMSP,0.909090909,0.833333333,0.869565217,0.87254902,0.946808511,0.908163265,0.977443609,0.977898967,0.977443609,0.977526462,0.997154297,0.996227734
IMSP,0.916666667,0.916666667,0.916666667,0.877777778,0.822916667,0.849462366,0.97556391,0.975156942,0.97556391,0.975299682,0.997501314,0.996556042
IMSP,1,0.7,0.823529412,0.936708861,0.770833333,0.845714286,0.968592965,0.968611046,0.968592965,0.967469335,0.99801919,0.997432188
IMSP,0.714285714,1,0.833333333,0.907216495,0.916666667,0.911917098,0.976190476,0.976820484,0.976190476,0.97629723,0.998404343,0.997996277
IMSP,0.75,0.6,0.666666667,0.814814815,0.916666667,0.862745098,0.955513784,0.955841921,0.955513784,0.955370807,0.994007601,0.992221888
