null,Homo sapiens,Pan troglodytes,Macaca mulatta,Ovis aries,Ictidomys tridecemlineatus,Bos taurus,Felis catus,Equus caballus,Rhinolophus ferrumequinum,Mesocricetus auratus,Rattus norvegicus,Mus musculus,Camelus dromedarius,Gallus gallus
Homo sapiens,100.00,99.61,98.69,93.99,95.43,94.51,94.39,95.63,92.17,92.56,91.67,92.42,95.23,77.99
Pan troglodytes,99.61,100.00,98.56,93.86,95.30,94.38,94.26,95.50,92.04,92.43,91.54,92.29,95.08,77.86
Macaca mulatta,98.69,98.56,100.00,93.86,95.56,94.38,94.26,96.04,92.17,92.56,92.06,92.68,95.23,77.99
Ovis aries,93.99,93.86,93.86,100.00,92.29,99.22,93.32,93.87,90.05,91.23,89.57,90.71,97.01,79.11
Ictidomys tridecemlineatus,95.43,95.30,95.56,92.29,100.00,92.55,92.43,92.91,90.21,92.30,92.19,92.42,92.70,77.21
Bos taurus,94.51,94.38,94.38,99.22,92.55,100.00,93.72,94.13,90.31,91.10,89.70,90.84,97.31,78.85
Felis catus,94.39,94.26,94.26,93.32,92.43,93.72,100.00,93.86,90.33,91.11,90.48,90.71,93.00,77.97
Equus caballus,93.65,93.52,94.05,93.87,91.01,94.13,93.86,100.00,89.68,91.29,89.97,90.34,93.88,79.08
Rhinolophus ferrumequinum,92.17,92.04,92.17,90.05,90.21,90.31,90.33,91.44,100.00,89.15,88.66,89.27,90.61,76.96
Mesocricetus auratus,92.56,92.43,92.56,91.23,92.30,91.10,91.11,91.29,89.15,100.00,93.73,94.50,90.61,76.92
Rattus norvegicus,91.67,91.54,92.06,89.57,92.19,89.70,90.48,89.97,88.66,93.73,100.00,94.91,89.57,77.76
Mus musculus,92.42,92.29,92.68,90.71,92.42,90.84,90.71,90.34,89.27,94.50,94.91,100.00,89.02,78.27
Camelus dromedarius,95.23,95.08,95.23,97.01,92.70,97.31,93.00,93.88,90.61,90.61,89.57,89.02,100.00,80.99
Gallus gallus,77.99,77.86,77.99,79.11,77.21,78.85,77.97,79.08,76.96,77.07,77.76,78.27,80.99,100.00
